"id","Season","Opponents","Result","Shots_on_target_against","Goals_conceded","Saves","Save_percentage","Post_shot_expected_goals","Post_shot_expected_goals_without_conceded_goals","Passes_launched","Passes_attempted","Pass_completion_percent","Gk_passes_attempted_without_goal_kicks","Throws_attempted","Launch_percentage","Avg_length","Crosses_faced","Crosses_stopped","Crosses_stopped_percent","Def_actions_outside_pen_area","Avg_distance_of_def_actions"
101,"2019-2020","Athletic Club","L",5,1,4,"80.0%",0.7,-0.3,4,8,"50.0%",28,9,"21.4%",27.4,10,20,"31.7%",9,1
102,"2019-2020","Betis","W",3,2,1,"33.3%",1.2,-0.8,4,4,"100.0%",19,1,"21.1%",26,3,0,"21.3%",2,0
103,"2019-2020","Osasuna","D",5,2,3,"80.0%",1.6,-0.4,2,4,"50.0%",26,4,"7.7%",21.4,9,22.2,"26.4%",14,0
104,"2019-2020","Valencia","W",3,2,1,"33.3%",1.9,-0.1,0,2,"0.0%",19,4,"10.5%",24,4,0,"21.5%",6,1
105,"2019-2020","de Dortmund","D",4,0,3,"100.0%",2.7,+2.7,2,2,"100.0%",23,5,"8.7%",23.4,8,0,"21.4%",13,0
106,"2019-2020","Granada","L",4,2,2,"75.0%",2.2,+0.2,2,4,"50.0%",23,3,"8.7%",25.1,5,40,"31.6%",6,1
107,"2019-2020","Villarreal","W",3,1,2,"66.7%",0.4,-0.6,3,6,"50.0%",29,6,"10.3%",26.6,8,37.5,"39.8%",8,0
108,"2019-2020","Getafe","W",1,0,1,"100.0%",0.4,+0.4,8,12,"66.7%",26,5,"23.1%",29.8,12,50,"37.1%",11,0
109,"2019-2020","it Inter","W",3,1,2,"66.7%",0.6,-0.4,2,4,"50.0%",21,4,"14.3%",28.9,5,20,"23.6%",5,1
110,"2019-2020","Sevilla","W",4,0,4,"100.0%",0.7,+0.7,1,8,"12.5%",31,5,"16.1%",26.6,11,27.3,"32.9%",20,1
111,"2019-2020","Eibar","W",0,0,0,0,0,0.0,6,9,"66.7%",28,7,"21.4%",28.8,11,27.3,"25.5%",17,0
112,"2019-2020","cz Slavia Prague","W",9,1,8,"88.9%",2.4,+1.4,5,8,"62.5%",20,5,"25.0%",31.1,10,30,"35.5%",17,1
113,"2019-2020","Valladolid","W",1,1,0,"0.0%",0.9,-0.1,4,6,"66.7%",21,1,"19.0%",29.3,5,40,"32.4%",7,1
114,"2019-2020","Levante","L",3,3,0,"0.0%",0.9,-2.1,3,5,"60.0%",27,4,"18.5%",29.5,5,0,"24.0%",9,0
115,"2019-2020","cz Slavia Prague","D",0,0,0,0,0,0.0,2,8,"25.0%",33,4,"18.2%",28.9,10,20,"25.9%",10,1
116,"2019-2020","Celta Vigo","W",5,1,4,"80.0%",1,0.0,1,4,"25.0%",29,6,"10.3%",28.8,4,25,"25.8%",11,1
117,"2019-2020","Leganés","W",4,1,3,"75.0%",0.9,-0.1,1,1,"100.0%",20,10,"5.0%",25.5,9,0,"21.8%",5,1
118,"2019-2020","de Dortmund","W",4,1,3,"75.0%",1.4,+0.4,3,6,"50.0%",27,7,"14.8%",26,6,33.3,"35.3%",2,0
119,"2019-2020","Atlético Madrid","W",2,0,2,"100.0%",0.2,+0.2,6,7,"85.7%",22,7,"27.3%",30.3,8,12.5,"31.9%",20,2
120,"2019-2020","Mallorca","W",3,2,1,"33.3%",0.9,-1.1,3,4,"75.0%",17,1,"17.6%",27.5,7,14.3,"25.7%",7,0
121,"2019-2020","it Inter","W",8,1,7,"87.5%",1.6,+0.6,5,16,"31.3%",40,11,"30.0%",31.2,10,40,"33.9%",19,0
122,"2019-2020","Real Sociedad","D",5,2,3,"80.0%",2.7,+0.7,4,10,"40.0%",28,6,"14.3%",24.6,12,50,"42.4%",16,1
123,"2019-2020","Real Madrid","D",3,0,3,"100.0%",0.6,+0.6,4,12,"33.3%",44,8,"13.6%",24.5,9,66.7,"44.6%",24,0
124,"2019-2020","Alavés","W",3,1,2,"66.7%",1.2,+0.2,4,4,"100.0%",30,6,"13.3%",28.9,2,0,"21.5%",9,2
125,"2019-2020","Espanyol","D",3,2,1,"33.3%",1.6,-0.4,3,7,"42.9%",30,3,"16.7%",25.6,9,22.2,"24.3%",14,1
126,"2019-2020","Atlético Madrid","L",5,3,3,"60.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
127,"2019-2020","Granada","W",1,0,1,"100.0%",0,0.0,1,1,"100.0%",28,3,"3.6%",20.8,3,0,"10.3%",3,0
128,"2019-2020","Ibiza","W",2,1,1,"50.0%",0,"",0,0,"%",0,0,"%",0,0,0,"%","",""
129,"2019-2020","Valencia","L",6,2,3,"66.7%",1.8,-0.2,1,3,"33.3%",21,4,"14.3%",25.8,2,0,"22.5%",11,1
